letter,start_index,end_index
a,0,2679
b,2680,4634
c,4635,8307
d,8308,10556
e,10557,12294
f,12295,13830
g,13831,14972
h,14973,16348
i,16349,18021
j,18022,18410
k,18411,18770
l,18771,20099
m,20100,22236
n,22237,23063
o,23064,23942
p,23943,26872
q,26873,27029
r,27030,29143
s,29144,33034
t,33035,34814
u,34815,35502
v,35503,36103
w,36104,37058
x,37059,37091
y,37092,37221
z,37222,37287
